LifetimeValue,DaysWithoutFrequency,Age,Gender_dummy,Gender,EnrollmentDuration,DaysWithoutFrequency,AverageFrequency,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,DanceActivities,TeamActivities,RacketActivities,CombatActivities,NatureActivities,SpecialActivities,OtherActivities,NumberOfActivities,NumberOfFrequencies,AttendedClasses,AllowedWeeklyVisitsBySLA,AllowedNumberOfVisitsBySLA,RealNumberOfVisits,Ratio,NumberOfRenewals,HasReferences,NumberOfReferences,Dropout
89.35,1,60,0,Female,1,1,1.07,0,0,0,1,0,0,0,0,0,0,0,1,9,7,2,6.28,2,31.85,0,0,0,0
479.2,60,29,0,Female,13,60,0.47,0,0,0,0,0,0,0,0,0,1,0,1,23,1,2,17.42,1,5.74,2,0,0,1
37.6,7,23,1,Male,1,7,1.35,0,0,0,1,0,0,0,0,0,0,0,1,6,0,7,30.03,6,19.98,0,0,0,1
155.4,22,9,1,Male,5,22,0.87,0,0,0,0,0,1,0,0,0,0,0,1,20,2,2,17.72,3,16.93,0,0,0,1
373.2,210,35,1,Male,26,210,0.41,0,0,0,1,0,0,0,0,0,0,0,1,41,0,7,60.97,0,0,3,0,0,1
140,3,24,0,Female,7,3,0.8,0,0,0,1,0,0,0,0,0,0,0,1,28,0,7,59.01,26,44.06,0,0,0,1
143.5,16,23,1,Male,42,16,0.13,0,0,0,1,0,0,0,0,0,0,0,1,22,0,7,30.03,3,9.99,3,0,0,1
233.9,99,23,1,Male,53,99,0.16,1,0,0,1,0,0,0,0,0,0,0,1,34,0,7,60.97,11,18.04,5,0,0,1
212.6,69,29,1,Male,14,69,0.11,0,0,0,0,0,0,0,1,0,0,0,1,6,0,7,60.97,0,0,2,0,0,1
253.5,74,14,0,Female,7,74,0.27,0,0,0,0,0,1,0,0,0,0,0,1,6,6,2,17.72,0,0,2,0,0,1
118.6,38,20,0,Female,10,38,0.33,0,0,0,1,0,0,0,0,0,0,0,1,11,0,7,60.97,3,4.92,2,0,0,1
566.7,64,29,0,Female,21,64,2.26,1,0,0,1,0,0,0,1,0,0,0,2,194,0,7,60.97,28,45.92,1,0,0,1
370.7,58,63,0,Female,11,58,0.47,0,0,1,0,0,0,0,0,0,0,0,1,21,0,7,60.97,3,4.92,1,0,0,1
188.6,262,12,0,Female,9,262,0.02,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,17.42,0,0,0,0,0,1
143.6,44,28,1,Male,6,44,3.43,0,0,1,1,0,0,0,0,0,0,0,2,92,0,7,59.01,10,16.95,0,0,0,1
53.2,279,26,1,Male,9,279,0.16,0,0,0,1,0,0,0,0,0,0,0,1,6,0,7,28.98,6,20.7,1,0,0,1
828.5,35,47,1,Male,61,35,1.21,1,0,0,1,0,0,0,1,0,0,0,2,296,0,7,42,9,21.43,5,0,0,1
185.5,42,39,0,Female,11,42,1.53,0,0,0,1,0,0,0,0,0,0,0,1,67,0,7,62.02,3,4.84,1,0,0,1
290.6,1,19,1,Male,13,1,1.92,1,0,0,1,0,0,0,0,0,0,0,1,95,0,7,34.02,12,35.27,1,0,0,1
52,10,28,1,Male,0,10,0.45,0,0,0,1,0,0,0,1,0,0,0,2,2,0,7,24.01,2,8.33,0,0,0,0
615.8,244,30,1,Male,21,244,0.46,0,0,0,0,0,0,0,1,0,0,0,1,41,0,7,60.97,0,0,1,0,0,1
187.6,63,26,0,Female,5,63,0.35,0,0,0,0,0,0,0,1,0,0,0,1,8,0,7,60.97,0,0,0,0,0,1
352.2,103,43,0,Female,11,103,0.42,0,0,0,0,0,0,0,0,0,1,0,1,19,19,2,68.58,1,1.46,1,0,0,1
969.9,6,24,1,Male,37,6,1.41,1,0,1,0,0,0,0,0,0,0,0,1,207,207,3,26.13,11,42.1,3,0,0,1
314.7,45,44,0,Female,15,45,0.93,0,0,0,1,0,0,0,0,0,0,0,1,52,0,7,60.97,8,13.12,2,0,0,1
596.3,5,13,0,Female,49,5,0.13,0,0,1,0,0,0,0,0,0,0,0,1,27,18,2,6.28,3,47.77,4,0,0,0
907.2,62,17,1,Male,18,62,0.86,0,0,0,0,0,0,1,0,0,0,0,1,64,67,2,17.42,0,0,2,0,0,1
60,76,20,0,Female,4,76,0.42,0,0,0,1,0,0,0,0,0,0,0,1,7,0,7,60.97,0,0,0,0,0,1
201.7,56,20,0,Female,22,56,0.31,0,0,0,1,0,0,0,0,0,0,0,1,27,0,7,30.03,3,9.99,3,0,0,1
260.1,34,22,0,Female,15,34,0.59,0,0,0,1,0,0,0,0,0,0,0,1,34,1,7,60.97,4,6.56,2,0,0,1
73.6,4,21,0,Female,3,4,2.26,0,0,0,1,0,0,0,0,0,0,0,1,21,0,7,30.03,7,23.31,0,0,0,1
492.85,107,2,1,Male,14,107,0.31,0,0,1,0,0,0,0,0,0,0,0,1,17,17,2,15.14,0,0,1,0,0,1
37.6,92,21,1,Male,3,92,0.11,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7,28.98,1,3.45,1,0,0,1
186.2,78,1,0,Female,6,78,0.34,0,0,1,0,0,0,0,0,0,0,0,1,7,5,2,17.42,0,0,1,0,0,1
38.5,20,74,0,Female,0,20,0.9,0,0,0,1,0,0,0,0,0,0,0,1,4,0,7,30.03,4,13.32,0,0,0,0
319.05,50,19,0,Female,15,50,0.97,0,0,0,1,0,0,0,1,0,0,0,2,57,0,7,60.97,3,4.92,1,0,0,1
2209.97,9,13,0,Female,60,9,0.81,0,0,1,0,0,1,0,1,0,0,0,3,199,166,2,17.14,5,29.17,5,1,1,0
85.6,39,28,1,Male,3,39,1.56,0,0,1,0,0,0,0,0,0,0,0,1,22,0,7,60.97,5,8.2,0,0,0,1
554.6,1,38,0,Female,13,1,2.4,0,0,1,0,0,0,0,0,0,0,0,1,127,125,3,26.13,25,95.68,1,0,0,0
192.4,4,46,0,Female,5,4,0.44,0,0,1,1,0,0,0,0,0,0,0,2,9,0,7,28.98,5,17.25,0,0,0,1
188.6,39,26,0,Female,6,39,1.06,0,0,0,1,0,0,0,0,0,0,0,1,28,0,7,60.97,6,9.84,0,0,0,1
89.9,33,20,1,Male,4,33,0.45,0,0,0,1,0,0,0,0,0,0,0,1,8,0,7,32.97,1,3.03,0,0,0,1
80.5,35,22,0,Female,6,35,0.41,0,0,0,1,0,0,0,0,0,0,0,1,11,0,7,59.01,4,6.78,0,0,0,1
73.7,292,22,0,Female,11,292,0.63,0,0,0,1,0,0,0,0,0,0,0,1,29,0,7,28.98,13,44.86,1,0,0,1
